id,jahr,fach,test,bundesland,k1_anteil,k2_anteil,k3_anteil,k4_anteil,k5_anteil,khN
1,2010,Deutsch,Lesen,Schleswig-Holstein,20.20000076293945,19.29999923706055,22.70000076293945,14.9,22.9,
1,2010,Mathematik,"Daten, Häufigkeit und Wahrscheinlichkeit",Schleswig-Holstein,9.800000190734863,26.60000038146973,32.59999847412109,19.200001,11.8,
1,2010,Mathematik,Zahlen und Operationen,Schleswig-Holstein,19.10000038146973,28.29999923706055,25.29999923706055,14.1,13.2,
1,2011,Deutsch,Lesen,Schleswig-Holstein,15.30000019073486,17.39999961853027,21.89999961853027,22.5,22.799999,
1,2011,Mathematik,Muster und Strukturen,Schleswig-Holstein,26.10000038146973,26.70000076293945,28.70000076293945,10.8,7.6999998,
1,2011,Mathematik,Zahlen und Operationen,Schleswig-Holstein,22.70000076293945,30.70000076293945,20.39999961853027,15.8,10.4,
1,2012,Deutsch,Lesen,Schleswig-Holstein,9.699999809265137,23.70000076293945,29,21,16.6,
1,2012,Mathematik,Größen und Messen,Schleswig-Holstein,31.79999923706055,30.70000076293945,22,10.7,4.8000002,
1,2012,Mathematik,Muster und Strukturen,Schleswig-Holstein,17,31.10000038146973,28.29999923706055,13,10.6,
1,2013,Deutsch,Lesen,Schleswig-Holstein,17.89999961853027,21,20.60000038146973,24,16.5,
1,2013,Mathematik,Größen und Messen,Schleswig-Holstein,13.30000019073486,25.29999923706055,28.79999923706055,20.700001,11.9,
1,2013,Mathematik,Raum und Form,Schleswig-Holstein,14.89999961853027,18.89999961853027,25.39999961853027,20.5,20.299999,
1,2014,Deutsch,Lesen,Schleswig-Holstein,12.19999980926514,18.79999923706055,28,20,21,
1,2014,Mathematik,"Daten, Häufigkeit und Wahrscheinlichkeit",Schleswig-Holstein,8,14.69999980926514,25.79999923706055,32,19.5,
1,2014,Mathematik,Raum und Form,Schleswig-Holstein,14.19999980926514,22.20000076293945,28.10000038146973,17.4,18.1,
1,2015,Deutsch,Lesen,Schleswig-Holstein,9.5,14.89999961853027,26.29999923706055,22.799999,26.5,
1,2015,Mathematik,"Daten, Häufigkeit und Wahrscheinlichkeit",Schleswig-Holstein,19.5,20.10000038146973,24.39999961853027,21.4,14.6,
1,2015,Mathematik,Zahlen und Operationen,Schleswig-Holstein,16.5,27.29999923706055,23.5,21.799999,10.9,
1,2016,Deutsch,Lesen,Schleswig-Holstein,9.699999809265137,15.19999980926514,27.20000076293945,27.299999,20.6,
1,2016,Mathematik,Muster und Strukturen,Schleswig-Holstein,12.30000019073486,22.5,26.29999923706055,23.799999,15.1,
